#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
67,0.873726,1.269947,-0.000202,0.005577,0.009693,3266506.581411,0.000000,3035535.079094,3046332.665076,-1286322.771088,3274391.984749
68,0.874420,1.208423,-0.000828,0.009979,0.008758,3094696.967051,0.000000,3035535.079094,3046332.665076,-375752.914967,3274391.984749
69,0.874428,1.233422,-0.000615,0.010644,0.011000,3331468.627371,0.000000,3035535.079094,3046332.665076,-216916.618311,3274391.984749
70,0.874558,1.255834,-0.001033,0.012712,0.011220,3552502.507542,3046322.652630,3035535.079094,3046332.665076,470573.462645,3274391.984749
71,0.875070,1.221946,0.002352,0.009573,0.008015,2998509.138351,0.000000,3035535.079094,3046332.665076,-263541.741393,3274391.984749
72,0.875257,1.229825,-0.004441,0.008235,0.004403,3131412.453903,0.000000,3035535.079094,3046332.665076,1823506.048384,3274391.984749
73,0.875339,1.282308,0.001010,0.004226,0.007428,3149839.201170,0.000000,3035535.079094,3046332.665076,-889216.693719,3274391.984749
74,0.876186,1.225923,0.002973,0.012020,0.010226,3178885.374337,0.000000,3035535.079094,3046332.665076,2212143.596157,3274391.984749
75,0.876253,1.224070,-0.002158,0.005096,0.007138,2958904.501302,0.000000,3035535.079094,3046332.665076,-1078954.986804,3274391.984749
76,0.876760,1.262544,-0.002432,0.006555,0.005265,3192467.687769,0.000000,3035535.079094,3046332.665076,-148363.188992,3274391.984749
77,0.877519,1.189813,0.003763,0.009702,0.007492,2710897.388223,3046259.255995,3035535.079094,3046332.665076,2405901.618034,3274391.984749
78,0.877595,1.240037,-0.001842,0.009504,0.005214,3162913.358144,0.000000,3035535.079094,3046332.665076,-629289.942152,3274391.984749
79,0.877858,1.224938,0.000055,0.011142,0.007836,3162131.369758,0.000000,3035535.079094,3046332.665076,-2748101.923923,3274391.984749
80,0.877950,1.220450,-0.001040,0.008720,0.006071,3010535.532077,3046250.017877,3035535.079094,3046332.665076,-369448.079855,3274391.984749
81,0.878137,1.237592,-0.000606,0.008779,0.009303,3208395.415545,0.000000,3035535.079094,3046332.665076,1058951.291382,3274391.984749
82,0.878317,1.247171,0.000284,0.009715,0.003681,3072768.002895,3046242.159599,3035535.079094,3046332.665076,-210341.885653,3274391.984749
83,0.878415,1.248115,-0.001775,0.006112,0.005415,3063547.173962,3046240.075411,3035535.079094,3046332.665076,-141336.097789,3274391.984749
84,0.878429,1.235225,-0.000706,0.008269,0.004209,2995989.947309,3046239.767799,3035535.079094,3046332.665076,1343657.990435,3274391.984749
85,0.878625,1.268346,-0.000586,0.011868,0.008532,3472985.593764,3046235.567895,3035535.079094,3046332.665076,971237.305290,3274391.984749
